post_id,platform,content_type,likes,comments,shares,views,engagement_rate_percent,hashtags,posting_time,post_date
1,LinkedIn,Story,389207,31634,51883,837428,56.45,#foodie,Night,2026-01-26
2,YouTube,Image,72413,63,67,174833,41.49,#foodie,Morning,2025-10-30
3,Facebook,Short,3543,142,171,13914,27.71,#marketing,Evening,2025-10-25
4,Facebook,Reel,271955,5603,10050,820908,35.04,#travel,Afternoon,2024-10-10
5,Twitter,Video,198827,6143,5990,545621,38.66,#travel,Afternoon,2025-11-06
6,TikTok,Image,99334,7412,386,605546,17.69,#foodie,Night,2024-10-09
7,LinkedIn,Reel,114177,6244,323,760115,15.88,#foodie,Evening,2025-11-14
8,YouTube,Story,69819,6780,11087,565649,15.5,#trending,Afternoon,2024-08-21
9,TikTok,Video,370631,5429,6702,983599,38.91,#marketing,Morning,2024-06-11
10,Twitter,Story,24354,820,282,89454,28.46,#marketing,Afternoon,2025-12-18
11,Facebook,Story,157774,12576,3132,877132,19.78,#travel,Evening,2025-01-26
12,Twitter,Short,199187,17862,33384,794897,31.51,#tech,Afternoon,2025-02-25
13,TikTok,Carousel,255718,2950,1941,772867,33.72,#travel,Morning,2025-11-20
14,YouTube,Carousel,16365,1423,1368,551516,3.47,#trending,Morning,2024-07-21
15,Twitter,Carousel,92288,2468,1831,837862,11.53,#tech,Evening,2025-08-14
16,Twitter,Story,180437,11929,6403,475901,41.77,#tech,Evening,2025-02-05
17,YouTube,Short,151172,5452,1869,846609,18.72,#foodie,Night,2024-07-03
18,LinkedIn,Short,22255,637,29,163201,14.04,#fashion,Evening,2025-10-22
19,YouTube,Carousel,213929,8411,8813,810092,28.53,#tech,Morning,2025-06-27
20,Instagram,Carousel,67969,475,463,220885,31.2,#tech,Morning,2025-08-01
21,LinkedIn,Short,382249,28355,37380,961315,46.6,#fashion,Evening,2024-12-27
22,Twitter,Carousel,19561,85,103,357378,5.53,#fashion,Afternoon,2025-10-19
23,YouTube,Carousel,73966,588,785,647292,11.64,#tech,Morning,2024-10-05
24,Facebook,Short,48738,3981,4157,321999,17.66,#travel,Morning,2025-01-17
25,Twitter,Image,30106,1015,868,787641,4.06,#marketing,Evening,2026-03-20
26,Twitter,Story,156992,5466,10676,395897,43.73,#trending,Evening,2025-05-25
27,TikTok,Carousel,18220,1416,2385,657984,3.35,#fitness,Morning,2024-12-19
28,LinkedIn,Carousel,28183,1317,693,147980,20.4,#marketing,Night,2024-08-09
29,Instagram,Reel,16380,1085,285,800567,2.22,#travel,Morning,2025-08-31
